,fwd_rtn_1_real,fwd_rtn_5_real,fwd_rtn_10_real,fwd_rtn_20_real,fwd_rtn_50_real,fwd_rtn_10_abs
TSI_13_25_13,-0.029102338614777856,-0.0617612326349596,-0.08798909597531365,-0.11297740449582082,-0.12092685304023912,-0.015016010260494742
LDECAY_5,-0.038114616425007186,-0.08198602791916935,-0.11072281646434226,-0.14976871326656313,-0.22185090896644996,-0.0017995147885321932
MOM_10,-0.04505825586322179,-0.09996865013236853,-0.12252492648430725,-0.13113142809337708,-0.11681892770669204,-0.01895932987115073
T3_10_0.7,-0.029423163774982636,-0.06359570180394312,-0.09034504882877284,-0.13019047095703945,-0.204148009418474,0.0010941564856633925
RSI_14,-0.050324136758879645,-0.11060159188933577,-0.13322990714244776,-0.14524078940317628,-0.13744807853076185,-0.019962871369162173
DEMA_10,-0.034942804010071354,-0.07494346560706706,-0.10454657583891126,-0.1454674374705993,-0.21900721506712054,-0.0014754173783850435
DCL_20_20,-0.02952593689579103,-0.06449681017348595,-0.09013375623104677,-0.1281137067949004,-0.20212240013024144,0.0024810086321691784
NATR_14,0.007146291477541474,0.015513897875373241,0.020812539296777587,0.026623747994463206,0.0341693022867013,-0.009625530265104279
DCU_20_20,-0.027798142497670406,-0.0612406720443786,-0.08571332579221012,-0.12174584984704669,-0.1937845243352286,0.00026744303585016433
LOGRET_1,-0.03660567982029389,-0.0937893273716213,-0.08339430031444608,-0.06603323119671436,-0.04857506251020213,-0.011952382189473934
THERMOma_20_2_0.5,-0.0008028375217732787,-0.0016688429635149274,-0.002956084047915412,-0.006461372126167169,-0.015213241059821407,0.004403857354935853
DCM_20_20,-0.02924433053689061,-0.06406126366923118,-0.08959522672466876,-0.12727853930985217,-0.20155784655735753,0.001370598536734261
CMO_14,-0.05032759817461637,-0.1104625813471559,-0.1332900006099988,-0.1451822878713034,-0.137470427227847,-0.020437084823618043
WILLR_14,-0.052940445280138575,-0.11295527466259225,-0.12600870343432885,-0.12381543345735917,-0.10579003810146577,-0.02003128241158863
EMA_10,-0.03246645399329818,-0.06954394233033992,-0.09692393487518844,-0.1364610856218246,-0.2108393774679913,-0.00016441729592496924
CKSPs_10_3_20,-0.02724237199131967,-0.059721877881411777,-0.08336012886259121,-0.11926654707010433,-0.19227336383756544,0.002270143927291747
UI_14,0.022403947489248753,0.04657465638456939,0.06825598722470941,0.08997859763450627,0.09647732040438672,-0.00860379864898029
ACCBL_20,-0.02803369005094686,-0.06100483433841815,-0.08579181811529653,-0.12343201637853429,-0.1985565136402275,0.002834669512550711
MIDPOINT_2,-0.037062949852388206,-0.07919506821167988,-0.10820674027252715,-0.14775557802116382,-0.22037649823485092,-0.0017760303688018101
MEDIAN_30,-0.02680589831046006,-0.058140096750814545,-0.08081008669705582,-0.11579701074267465,-0.1887178757187618,0.002411973892874411
CCI_14_0.015,-0.04866976768582405,-0.11563337296907795,-0.13396875897705832,-0.1327008535199375,-0.11225258328381985,-0.019388654238462144
close_Z_30_1,-0.04860457562776233,-0.10856995397577887,-0.13263691181551576,-0.1453249116386304,-0.13569773122370646,-0.019788115205560886
THERMOl_20_2_0.5,-0.0072663325830986175,-0.010748241196608818,-0.009876389533008848,-0.007388236639068316,-0.0051156133290938205,-0.06256551083600408
STOCHd_14_3_3,-0.03158393460929691,-0.06712021398056854,-0.09216748548987018,-0.10598135941568762,-0.09884871518485759,-0.014597905893887006
ZL_EMA_10,-0.03547527408505335,-0.07619151289208513,-0.10576485123636666,-0.1464334463174549,-0.21970790988915653,-0.001617836592014692
STOCHRSIk_14_14_3_3,-0.03761732898528639,-0.08109322579429215,-0.09129833064147397,-0.08402470023645366,-0.06321304966659584,-0.01319596528351409
SKEW_30,-0.013843230871555156,-0.035860486516788144,-0.04922098675858833,-0.05459408368726609,-0.05191699263952623,-0.0035772203439465937
KCLe_20_2,-0.030794013578554453,-0.06620261402652532,-0.09255887493912743,-0.13107501132238816,-0.20609804470157575,0.0003857259003866612
SMI_5_20_5,-0.040978987587479,-0.08813261396312057,-0.11586499262508759,-0.13554962971701381,-0.1314352196961976,-0.018966138119526264
SQZ_NO,0.002275968731174921,0.002896911865492067,0.0038643360034620595,0.005604104248153182,0.005647237304051617,0.029858561148953383
DMN_14,0.03842034839262531,0.08827610974846876,0.111761595641123,0.12609909875310266,0.12223522024714913,0.01937729064959819
KST_10_15_20_30_10_10_10_15,-0.020429274881031755,-0.0424341289834475,-0.06556095345666155,-0.09267611067118213,-0.10646051726168601,-0.012839658477010784
HMA_10,-0.03467567375692632,-0.0747125452723724,-0.10432900825593228,-0.1452398246084,-0.2184830178431248,-0.001520653888805476
PVO_12_26_9,0.003849716630538944,0.0020776511602155602,-0.0015863254132507192,-0.0061799196944361074,-0.010902398777557257,0.10486669175520892
ENTP_10,-0.030361050581196956,-0.06489709403019699,-0.09419762004618146,-0.11730769117551734,-0.1145143787517449,-0.016871608868622268
low_Z_30_1,-0.041621182105809174,-0.09527050476498557,-0.12198222213996983,-0.13777047959153083,-0.13056886863613384,-0.026892873083879994
PGO_14,-0.054324409808672106,-0.12160683522069135,-0.1398015902296787,-0.14125325426372728,-0.12238549970225174,-0.020172611326737856
ATRr_14,-0.0021726344401487847,-0.004335631065842932,-0.006060436272164093,-0.009798862040194777,-0.020058528617798478,-0.008697413873850679
INC_1,-0.028236234386302468,-0.07648388313906754,-0.0669850248859414,-0.051711136790921486,-0.036834594191859284,-0.007717617469963707
CKSPl_10_3_20,-0.026593532171155097,-0.058489420820562556,-0.08208849065096033,-0.11753706650312941,-0.19047569046218343,0.002647671375777241
TRIMA_10,-0.02969774020308787,-0.06413927528538062,-0.09125582889587527,-0.13133133226359503,-0.20638142149496305,0.00024928227674687523
AO_5_34,-0.027837582336829744,-0.05920705152326139,-0.08869323684423923,-0.11708374584319031,-0.12343807458185374,-0.015345177477273382
open_Z_30_1,-0.03750341060798488,-0.07805477669052141,-0.1070398832234167,-0.12712662763437263,-0.12361719165025302,-0.016778885494305274
ACCBU_20,-0.026806659414461764,-0.05857580714189875,-0.08234517296804579,-0.11829117304284752,-0.19089538082576746,-3.3306316172390755e-05
SMA_10,-0.03066496927191848,-0.06605779954946837,-0.09315735551923486,-0.13292785221102063,-0.20773262042425925,0.00018271126323037677
KCUe_20_2,-0.029169918886323608,-0.06335003717920361,-0.08870782235238008,-0.12618183288090631,-0.19926569278433579,0.0010318911838655916
BEARP_13,-0.04502601035899708,-0.10435686626361047,-0.12595809436635788,-0.13164900417656575,-0.11552357294664783,-0.030575504459506804
SMIo_5_20_5,-0.046191625172978076,-0.1043014111503822,-0.10700488785786115,-0.08816190970293854,-0.06226814276682956,-0.013296247676782008
J_9_3,-0.04953755549288712,-0.10539249466317668,-0.11391168519735,-0.10285175600078716,-0.08183068986628031,-0.015391122953666896
PVI_1,-0.026163100165182987,-0.061132965204479105,-0.08375597230294822,-0.11403860363919055,-0.16989642123853593,-0.004835889999883995
CMF_20,-0.02962507375567918,-0.06077790396040679,-0.07666239619701247,-0.08912735422267909,-0.08957568753013707,-0.007724325672170645
PVR,0.02497453775623557,0.06863065648822977,0.060404250414283656,0.04690413335256724,0.03355337520146508,-0.0006497314548290792
NVI_1,-0.009642077554694761,-0.012977950480064553,-0.014870791406318364,-0.017588345197931617,-0.02219900513856037,-0.0006990392683047377
BOP,-0.03641335335350346,-0.08764688240644099,-0.07673455815872324,-0.059448697129284515,-0.04260653659839515,-0.010353994678124956
ATRr_14_XA_BIAS_SMA_26,0.004694723770676121,0.01014650939815247,0.0034730825907948585,-0.0034038319076310558,-0.005417271535615952,-0.0020675400935420796
TSIs_13_25_13,-0.016826298508522863,-0.03488085243230593,-0.05429810047350893,-0.07848018129551801,-0.09516848125380072,-0.011109100877506724
AMATe_SR_8_21_2,0.044121760528703736,0.09819336647001038,0.11102528214784037,0.10833819505206019,0.09092129201793739,0.016388209761792196
AMATe_LR_8_21_2,-0.04439931361373553,-0.09847227403684602,-0.11158481786973937,-0.10939160135907307,-0.09191658279139316,-0.020643511711810603
TEMA_10,-0.03657869738764926,-0.07823432182581744,-0.10824006807659411,-0.14921191556928462,-0.22195526630315363,-0.001877177052915357
QTL_30_0.5,-0.02680589831046006,-0.058140096750814545,-0.08081008669705582,-0.11579701074267465,-0.1887178757187618,0.002411973892874411
AROOND_14,0.026533868191564523,0.05778101504429962,0.0775176368962879,0.08893778219720556,0.08246797651984349,0.03442526461313612
SQZ_ON,-0.0028770220422827644,-0.004455319841582761,-0.00653922340898387,-0.009563274029982515,-0.012554876048364283,-0.0039332681816924885
KVOs_34_55_13,-0.021598766682489556,-0.04370948174626026,-0.06417968612952334,-0.08172811820224465,-0.06960349818860603,-0.012288117416485387
MASSI_9_25,0.0021988678197061933,0.003252231272454195,0.004098179368202244,0.006070813090983559,0.0022374832762679085,0.06552402703894188
MIDPRICE_2,-0.03537905921225267,-0.07677951679806261,-0.10599292258763793,-0.14590665255006854,-0.21885722483865283,-0.0015150053353654212
SMIs_5_20_5,-0.030351130056848398,-0.06392925469146031,-0.09250611549746932,-0.11831573756212033,-0.12126870684172857,-0.01618534430832499
MFI_14,-0.03426180462731401,-0.07440313209480837,-0.09763970741373319,-0.11296441108642707,-0.10528864928931413,-0.014620427757484481
TTM_TRND_6,-0.0446094121782324,-0.10590324085859627,-0.10846927911573621,-0.09393293282158637,-0.07293994202385361,-0.015623387867295075
DMP_14,-0.03603107329074106,-0.08508341620202632,-0.10874479367419258,-0.1238796922330362,-0.11881668808075131,-0.016329666811502216
ROC_10,-0.04497237047310691,-0.09989109495583565,-0.12255054171401965,-0.13127391860059748,-0.11732404676458211,-0.020118114414984935
SWMA_10,-0.029699139458732628,-0.06413537750822992,-0.09128976852479721,-0.1313451553271947,-0.206362278351316,0.0003013214993764723
APO_12_26,-0.02263221929151654,-0.04644257191599019,-0.07260134522761591,-0.10048366113407244,-0.1077614488664515,-0.012980307569940624
HLC3,-0.037380045258399344,-0.08072128570856905,-0.10970051800615856,-0.14903184025781097,-0.22134440452675416,-0.002052054469066068
UO_7_14_28,-0.04610645371444035,-0.09064055352834054,-0.1046091769940793,-0.10516595354904033,-0.09399234319313773,-0.012146027448375896
