,fwd_rtn_1_real,fwd_rtn_5_real,fwd_rtn_10_real,fwd_rtn_20_real,fwd_rtn_50_real,fwd_rtn_10_abs
T3_10_0.7,-3.190234368343882,-3.9633583023602728,-4.1284866936365106,-4.183807185645828,-4.201172269248812,0.03230522158575014
RSI_14,-3.0259365991710827,-4.679207800666815,-4.927872995638521,-4.9924161656759605,-4.01002974998978,-0.47764245646303594
DEMA_10,-3.5056884707509766,-4.2951362307373895,-4.451966280810141,-4.370694673584857,-4.28073915694196,-0.04428918387516933
DCL_20_20,-3.08415660499213,-3.924713105220582,-4.083018145798011,-4.0573415220410265,-4.072187321523539,0.07267082176328027
NATR_14,0.8325406829419204,1.1129190913661988,1.1424149039438727,0.9672727500743149,0.578021891901696,-0.33592912529144664
DCU_20_20,-3.1295472455722093,-3.8472661291716377,-3.910155676026758,-3.871779294732561,-3.9260794859959525,0.008052064527942005
LOGRET_1,-1.1616722904793177,-4.731162800524222,-5.5880488422780745,-5.646766539972416,-5.628114618559568,-0.9315879581656076
THERMOma_20_2_0.5,-0.07784592590980988,-0.0960661484540163,-0.12894993513069758,-0.20314691511152744,-0.25905653339846285,0.1691482509450056
DCM_20_20,-3.1812603882968844,-4.000447655994057,-4.098582057560431,-4.0361717064296645,-4.051527781282557,0.040753023385702525
CMO_14,-3.0268151570018524,-4.67059323964778,-4.934245744121868,-4.9873566847260244,-4.004753719006558,-0.4866659529130116
WILLR_14,-2.8933518024507885,-5.221726170995894,-5.04216319622016,-4.90362523887006,-5.354559994935234,-0.6361356400224237
EMA_10,-3.4271790324683744,-4.18178372393763,-4.2894337343454625,-4.2291130735142275,-4.168621457846974,-0.004933791587227694
CKSPs_10_3_20,-3.075296727018474,-3.7962394090125797,-3.9102873179806172,-3.8945113782329264,-3.9529019521994075,0.06749799706748308
UI_14,1.9597363343087064,2.584231899826103,3.0978865898949537,3.218691986685635,2.63388797227281,-0.2515718382088593
ACCBL_20,-3.0223871520767194,-3.8055702657318653,-3.926179320881188,-3.9612723384407658,-4.037004867327016,0.08208736051667817
MIDPOINT_2,-3.669800875804037,-4.483252125597074,-4.588755022585461,-4.44218361649032,-4.268925508905674,-0.05317227493346987
MEDIAN_30,-3.064074805644813,-3.7045602076810935,-3.7686085631976862,-3.776514572035564,-3.910133970853806,0.07034757260791709
CCI_14_0.015,-2.809406161568524,-4.817803534830235,-4.92563412598893,-4.903269945375853,-5.109666786306688,-0.6225138532763702
close_Z_30_1,-3.039790594474302,-4.802390988931814,-5.044836624291999,-4.976164672231779,-4.576886084843712,-0.4915022786944802
THERMOl_20_2_0.5,-0.5302077527254305,-0.8232595664158724,-0.6556017013185184,-0.44301205415935085,-0.2893409446789886,-4.081962289339954
STOCHd_14_3_3,-2.784151300543232,-3.172459548280652,-3.5600628563798855,-3.853785138451946,-4.581765835660471,-0.45335676822727755
ZL_EMA_10,-3.5524588882425117,-4.3246012978388135,-4.475143105313813,-4.378385782128447,-4.27655410337539,-0.048859575956580054
STOCHRSIk_14_14_3_3,-2.815407226575325,-3.935382185191729,-3.536669662324245,-2.9179456825871792,-2.8608665293565005,-0.6692073440779359
SKEW_30,-1.2162304325505189,-1.8944110864257895,-2.065967166464163,-1.9802640240829703,-1.676442247159125,-0.212921190899783
KCLe_20_2,-3.2179098541844398,-4.011436932155258,-4.1179587823049735,-4.115042655020426,-4.143203092161133,0.011317042750606205
SMI_5_20_5,-3.015397142772504,-3.9158504153020344,-4.392523219399821,-4.523314662378456,-3.967532714472286,-0.44463142840932296
SQZ_NO,0.18491492215532104,0.1157061480609206,0.11324482773833869,0.11473839958611612,0.09345222752153035,1.3658260666589346
DMN_14,2.743301645974576,4.216400809872288,4.392352253052754,4.008957136458296,2.81018676489153,0.5136554237798071
KST_10_15_20_30_10_10_10_15,-1.9566524268663181,-2.259765172817286,-2.6836556975881316,-3.0260004183090374,-2.7953510647595006,-0.28767373762135356
HMA_10,-3.4518458322004113,-4.264127562072966,-4.412507342486601,-4.348215199016294,-4.261454648187843,-0.04584902570304888
PVO_12_26_9,0.3837117144281953,0.12488143195904744,-0.07326140528659957,-0.20736471417491711,-0.2956711642588681,3.1851306551053993
ENTP_10,-2.3664922932408694,-3.116923970234989,-3.731281814241966,-4.221521718491655,-4.721763711527782,-0.4375357812583922
low_Z_30_1,-2.9017782199992315,-4.4255145578855775,-4.740221723243315,-4.715624135880177,-4.367399685866455,-0.6889475127733296
PGO_14,-2.9759612129074107,-4.965101688999787,-5.066485585978639,-5.1050385583729945,-5.270907532709266,-0.6151293607845384
ATRr_14,-0.227073967998649,-0.2673984083849139,-0.28404117334639317,-0.3211948984991605,-0.3290877243456474,-0.32806471198573994
INC_1,-1.048104440811754,-4.562464198009274,-5.351134096634255,-5.2614633166741225,-5.071796639119672,-0.7142235096417126
CKSPl_10_3_20,-3.0678617846452907,-3.7205490745778773,-3.7963838083092543,-3.7756779403517924,-3.9065779792013666,0.07756370740003468
TRIMA_10,-3.146939839023056,-3.9275489268711268,-4.099072209776513,-4.115455086604265,-4.105213239115746,0.0074701334240814075
AO_5_34,-2.439441109211142,-2.8968353974510714,-3.588785574595976,-3.7935878146623163,-3.7963338710556305,-0.3458226771218656
open_Z_30_1,-2.655252971397181,-3.726225240948509,-4.357317140424699,-4.476795078095922,-4.329190123123385,-0.42765304834612167
ACCBU_20,-3.043594973065081,-3.7631444900758058,-3.8398545041352157,-3.82322822043442,-3.90865800303,-0.001003916070298345
SMA_10,-3.2518197595432214,-4.018918306324814,-4.159043888537571,-4.149962205310478,-4.124374484431841,0.005474935475810503
KCUe_20_2,-3.2233557605706284,-3.9730259657220834,-4.035112820425226,-4.001397775135799,-4.026251947928232,0.031185580267743325
BEARP_13,-2.6759997371750077,-4.633806170224299,-4.9653052906245305,-5.131734661708047,-4.690497637042291,-0.85940941642916
SMIo_5_20_5,-2.567313009911872,-4.3669350879172715,-4.081226814757551,-3.3623345254220043,-3.4963345442220444,-0.6609710348466762
J_9_3,-2.9650594982863696,-4.7375493863567195,-4.797578046975423,-4.703225674977412,-5.473423615379279,-0.6496162046048746
PVI_1,-2.9225355987728214,-3.9557518376050163,-4.0556537399410635,-3.947916991119395,-3.6636744335391955,-0.20967475657414084
CMF_20,-2.8575984825889105,-3.4241376974759112,-3.516663920163459,-3.0828983818466313,-2.69816616326636,-0.251670340775016
PVR,1.011648572861618,4.37491888061784,4.896001759612498,4.6608757349513805,4.419030706538498,-0.06209045223151961
NVI_1,-0.8891666145258131,-0.6123045844586463,-0.5271961517938892,-0.4454405101253066,-0.3392668433655456,-0.02912676968794096
BOP,-1.1702768238445578,-4.4809623439324495,-5.208959664531173,-5.259387239292578,-5.190674285898632,-0.8517552231765119
ATRr_14_XA_BIAS_SMA_26,0.5729394513473615,1.3497268217657188,0.4647102100513837,-0.543430242163693,-0.7516851467702514,-0.3307852490503531
TSIs_13_25_13,-1.6060910205489924,-2.0442236546532344,-2.508070327396571,-2.678391789532626,-2.0463403747379605,-0.26793074806745176
AMATe_SR_8_21_2,2.956114022446973,4.860820149649017,4.977224880965951,4.913371011043401,5.155974546506825,0.6105598675813565
AMATe_LR_8_21_2,-2.935236266914756,-4.73300225768199,-4.857729530239,-4.913536422344092,-5.048854959678999,-0.7862409129208001
TEMA_10,-3.5736630524142328,-4.309557744955208,-4.47152882951632,-4.412792801276763,-4.328321467710767,-0.056229013929707514
QTL_30_0.5,-3.064074805644813,-3.7045602076810935,-3.7686085631976862,-3.776514572035564,-3.910133970853806,0.07034757260791709
AROOND_14,2.078260079838912,2.663645191013915,3.1242196088457255,3.5090703691462775,3.634122716688921,1.3605923002732663
SQZ_ON,-0.3544308595100722,-0.2544820044493006,-0.2769918927593861,-0.3627420696397535,-0.4562173756308306,-0.22989099040896474
KVOs_34_55_13,-2.2583172946306633,-2.334028987821579,-2.5400556123104066,-2.360957575268526,-1.8102140705031493,-0.38321259942885866
MASSI_9_25,0.19801943974747,0.14914890886260468,0.13167423632673342,0.14164784976061898,0.05710462946471639,1.6402570217753702
MIDPRICE_2,-3.544682787993965,-4.422357440864993,-4.536855764218875,-4.405501977667967,-4.247870094459449,-0.04550035942978567
SMIs_5_20_5,-2.4988711105666854,-3.0716803135357975,-3.721205473333264,-3.9343678884379734,-3.506234242790375,-0.3724977295462678
MFI_14,-2.8274718144058264,-3.8183816686832475,-4.081728475906326,-4.063382421987887,-3.77612735620971,-0.4303138275219167
TTM_TRND_6,-2.213636844055607,-4.975158650178526,-5.619768938345584,-5.715321844803409,-6.400507971667435,-0.7828397669267024
DMP_14,-2.643209671828574,-4.120742458960303,-4.449709000298672,-4.64265328165171,-3.2803817265332125,-0.40109115572452203
ROC_10,-2.6995068409762184,-4.432404434431826,-4.7723279048614655,-5.0055553198191065,-5.321359383915457,-0.5968739631398707
SWMA_10,-3.1467017941976994,-3.9280118510552677,-4.095661256356686,-4.11379694177475,-4.1069805127816394,0.00902052466530447
APO_12_26,-2.0011375927270656,-2.323798609372142,-2.8157935083444445,-3.1479444392105718,-3.745906548544523,-0.30241847037337566
HLC3,-3.663312871810521,-4.516327165628446,-4.613431832006027,-4.455974588707982,-4.275693868353301,-0.061539836331514976
UO_7_14_28,-3.3560244781566255,-4.306146127957197,-4.529360165008476,-4.550753134828219,-3.785761679183627,-0.4735900073133076
